city,gu,dong,,
서울특별시,종로구,청운동,,
서울특별시,종로구,신교동,,
서울특별시,종로구,궁정동,,
서울특별시,종로구,효자동,,
서울특별시,종로구,창성동,,
서울특별시,종로구,통의동,,
서울특별시,종로구,적선동,,
서울특별시,종로구,통인동,,
서울특별시,종로구,누상동,,
서울특별시,종로구,누하동,,
서울특별시,종로구,옥인동,,
서울특별시,종로구,체부동,,
서울특별시,종로구,필운동,,
서울특별시,종로구,내자동,,
서울특별시,종로구,사직동,,
서울특별시,종로구,도렴동,,
서울특별시,종로구,당주동,,
서울특별시,종로구,내수동,,
서울특별시,종로구,세종로,,
서울특별시,종로구,신문로,,
서울특별시,종로구,청진동,,
서울특별시,종로구,서린동,,
서울특별시,종로구,수송동,,
서울특별시,종로구,중학동,,
서울특별시,종로구,종로,,
서울특별시,종로구,공평동,,
서울특별시,종로구,관훈동,,
서울특별시,종로구,견지동,,
서울특별시,종로구,와룡동,,
서울특별시,종로구,권농동,,
서울특별시,종로구,운니동,,
서울특별시,종로구,익선동,,
서울특별시,종로구,경운동,,
서울특별시,종로구,관철동,,
서울특별시,종로구,인사동,,
서울특별시,종로구,낙원동,,
서울특별시,종로구,팔판동,,
서울특별시,종로구,삼청동,,
서울특별시,종로구,안국동,,
서울특별시,종로구,소격동,,
서울특별시,종로구,화동,,
서울특별시,종로구,사간동,,
서울특별시,종로구,송현동,,
서울특별시,종로구,가회동,,
서울특별시,종로구,재동,,
서울특별시,종로구,계동,,
서울특별시,종로구,원서동,,
서울특별시,종로구,훈정동,,
서울특별시,종로구,묘동,,
서울특별시,종로구,봉익동,,
서울특별시,종로구,돈의동,,
서울특별시,종로구,장사동,,
서울특별시,종로구,관수동,,
서울특별시,종로구,인의동,,
서울특별시,종로구,예지동,,
서울특별시,종로구,원남동,,
서울특별시,종로구,연지동,,
서울특별시,종로구,효제동,,
서울특별시,종로구,이화동,,
서울특별시,종로구,연건동,,
서울특별시,종로구,충신동,,
서울특별시,종로구,동숭동,,
서울특별시,종로구,혜화동,,
서울특별시,종로구,명륜,,
서울특별시,종로구,창신동,,
서울특별시,종로구,숭인동,,
서울특별시,종로구,교남동,,
서울특별시,종로구,평동,,
서울특별시,종로구,송월동,,
서울특별시,종로구,홍파동,,
서울특별시,종로구,교북동,,
서울특별시,종로구,행촌동,,
서울특별시,종로구,구기동,,
서울특별시,종로구,평창동,,
서울특별시,종로구,부암동,,
서울특별시,종로구,홍지동,,
서울특별시,종로구,신영동,,
서울특별시,종로구,무악동,,
서울특별시,중구,무교동,,
서울특별시,중구,다동,,
서울특별시,중구,태평로,,
서울특별시,중구,을지로,,
서울특별시,중구,남대문로,,
서울특별시,중구,삼각동,,
서울특별시,중구,수하동,,
서울특별시,중구,장교동,,
서울특별시,중구,수표동,,
서울특별시,중구,소공동,,
서울특별시,중구,남창동,,
서울특별시,중구,북창동,,
서울특별시,중구,봉래동,,
서울특별시,중구,회현동,,
서울특별시,중구,충무로,,
서울특별시,중구,명동,,
서울특별시,중구,남산동,,
서울특별시,중구,저동,,
서울특별시,중구,예관동,,
서울특별시,중구,묵정동,,
서울특별시,중구,필동,,
서울특별시,중구,남학동,,
서울특별시,중구,주자동,,
서울특별시,중구,예장동,,
서울특별시,중구,장충동,,
서울특별시,중구,광희동,,
서울특별시,중구,쌍림동,,
서울특별시,중구,주교동,,
서울특별시,중구,방산동,,
서울특별시,중구,오장동,,
서울특별시,중구,입정동,,
서울특별시,중구,산림동,,
서울특별시,중구,초동,,
서울특별시,중구,인현동,,
서울특별시,중구,신당동,,
서울특별시,중구,흥인동,,
서울특별시,중구,무학동,,
서울특별시,중구,황학동,,
서울특별시,중구,서소문동,,
서울특별시,중구,정동,,
서울특별시,중구,순화동,,
서울특별시,중구,의주로,,
서울특별시,중구,충정로,,
서울특별시,중구,중림동,,
서울특별시,중구,만리동,,
서울특별시,용산구,후암동,,
서울특별시,용산구,갈월동,,
서울특별시,용산구,남영동,,
서울특별시,용산구,용산동,,
서울특별시,용산구,동자동,,
서울특별시,용산구,서계동,,
서울특별시,용산구,청파동,,
서울특별시,용산구,원효로,,
서울특별시,용산구,신창동,,
서울특별시,용산구,산천동,,
서울특별시,용산구,청암동,,
서울특별시,용산구,효창동,,
서울특별시,용산구,도원동,,
서울특별시,용산구,용문동,,
서울특별시,용산구,문배동,,
서울특별시,용산구,신계동,,
서울특별시,용산구,한강로,,
서울특별시,용산구,이촌동,,
서울특별시,용산구,이태원동,,
서울특별시,용산구,한남동,,
서울특별시,용산구,동빙고동,,
서울특별시,용산구,서빙고동,,
서울특별시,용산구,주성동,,
서울특별시,용산구,보광동,,
서울특별시,성동구,상왕십리동,,
서울특별시,성동구,하왕십리동,,
서울특별시,성동구,홍익동,,
서울특별시,성동구,도선동,,
서울특별시,성동구,마장동,,
서울특별시,성동구,사근동,,
서울특별시,성동구,행당동,,
서울특별시,성동구,응봉동,,
서울특별시,성동구,금호동,,
서울특별시,성동구,옥수동,,
서울특별시,성동구,성수동,,
서울특별시,성동구,송정동,,
서울특별시,성동구,용답동,,
서울특별시,광진구,중곡동,,
서울특별시,광진구,능동,,
서울특별시,광진구,구의동,,
서울특별시,광진구,광장동,,
서울특별시,광진구,자양동,,
서울특별시,광진구,화양동,,
서울특별시,광진구,군자동,,
서울특별시,동대문구,신설동,,
서울특별시,동대문구,용두동,,
서울특별시,동대문구,제기동,,
서울특별시,동대문구,전농동,,
서울특별시,동대문구,답십리동,,
서울특별시,동대문구,장안동,,
서울특별시,동대문구,청량리동,,
서울특별시,동대문구,회기동,,
서울특별시,동대문구,휘경동,,
서울특별시,동대문구,이문동,,
서울특별시,중랑구,면목동,,
서울특별시,중랑구,상봉동,,
서울특별시,중랑구,중화동,,
서울특별시,중랑구,묵동,,
서울특별시,중랑구,망우동,,
서울특별시,중랑구,신내동,,
서울특별시,성북구,성북동,,
서울특별시,성북구,성북동,,
서울특별시,성북구,돈암동,,
서울특별시,성북구,동소문동,,
서울특별시,성북구,삼선동,,
서울특별시,성북구,동선동,,
서울특별시,성북구,안암동,,
서울특별시,성북구,보문동,,
서울특별시,성북구,정릉동,,
서울특별시,성북구,길음동,,
서울특별시,성북구,종암동,,
서울특별시,성북구,하월곡동,,
서울특별시,성북구,상월곡동,,
서울특별시,성북구,장위동,,
서울특별시,성북구,석관동,,
서울특별시,강북구,미아동,,
서울특별시,강북구,번동,,
서울특별시,강북구,수유동,,
서울특별시,강북구,우이동,,
서울특별시,도봉구,쌍문동,,
서울특별시,도봉구,방학동,,
서울특별시,도봉구,창동,,
서울특별시,도봉구,도봉동,,
서울특별시,노원구,월계동,,
서울특별시,노원구,공릉동,,
서울특별시,노원구,하계동,,
서울특별시,노원구,상계동,,
서울특별시,노원구,중계동,,
서울특별시,은평구,수색동,,
서울특별시,은평구,녹번동,,
서울특별시,은평구,불광동,,
서울특별시,은평구,갈현동,,
서울특별시,은평구,구산동,,
서울특별시,은평구,대조동,,
서울특별시,은평구,응암동,,
서울특별시,은평구,역촌동,,
서울특별시,은평구,신사동,,
서울특별시,은평구,증산동,,
서울특별시,은평구,진관동,,
서울특별시,서대문구,합동,,
서울특별시,서대문구,미근동,,
서울특별시,서대문구,냉천동,,
서울특별시,서대문구,천연동,,
서울특별시,서대문구,옥천동,,
서울특별시,서대문구,영천동,,
서울특별시,서대문구,현저동,,
서울특별시,서대문구,북아현동,,
서울특별시,서대문구,홍제동,,
서울특별시,서대문구,대현동,,
서울특별시,서대문구,대신동,,
서울특별시,서대문구,신촌동,,
서울특별시,서대문구,봉원동,,
서울특별시,서대문구,창천동,,
서울특별시,서대문구,연희동,,
서울특별시,서대문구,홍은동,,
서울특별시,서대문구,북가좌동,,
서울특별시,서대문구,남가좌동,,
서울특별시,마포구,아현동,,
서울특별시,마포구,공덕동,,
서울특별시,마포구,신공덕동,,
서울특별시,마포구,도화동,,
서울특별시,마포구,용강동,,
서울특별시,마포구,토정동,,
서울특별시,마포구,마포동,,
서울특별시,마포구,대흥동,,
서울특별시,마포구,염리동,,
서울특별시,마포구,노고산동,,
서울특별시,마포구,신수동,,
서울특별시,마포구,현석동,,
서울특별시,마포구,구수동,,
서울특별시,마포구,창전동,,
서울특별시,마포구,상수동,,
서울특별시,마포구,하중동,,
서울특별시,마포구,신정동,,
서울특별시,마포구,당인동,,
서울특별시,마포구,서교동,,
서울특별시,마포구,동교동,,
서울특별시,마포구,합정동,,
서울특별시,마포구,망원동,,
서울특별시,마포구,연남동,,
서울특별시,마포구,성산동,,
서울특별시,마포구,중동,,
서울특별시,마포구,상암동,,
서울특별시,양천구,신정동,,
서울특별시,양천구,목동,,
서울특별시,양천구,신월동,,
서울특별시,강서구,염창동,,
서울특별시,강서구,등촌동,,
서울특별시,강서구,화곡동,,
서울특별시,강서구,가양동,,
서울특별시,강서구,마곡동,,
서울특별시,강서구,내발산동,,
서울특별시,강서구,외발산동,,
서울특별시,강서구,공항동,,
서울특별시,강서구,방화동,,
서울특별시,강서구,개화동,,
서울특별시,강서구,과해동,,
서울특별시,강서구,오곡동,,
서울특별시,강서구,오쇠동,,
서울특별시,구로구,신도림동,,
서울특별시,구로구,구로동,,
서울특별시,구로구,가리봉동,,
서울특별시,구로구,고척동,,
서울특별시,구로구,개봉동,,
서울특별시,구로구,오류동,,
서울특별시,구로구,궁동,,
서울특별시,구로구,온수동,,
서울특별시,구로구,천왕동,,
서울특별시,구로구,항동,,
서울특별시,금천구,가산동,,
서울특별시,금천구,독산동,,
서울특별시,금천구,시흥동,,
서울특별시,영등포구,영등포동,,
서울특별시,영등포구,영등포동,,
서울특별시,영등포구,여의도동,,
서울특별시,영등포구,당산동,,
서울특별시,영등포구,당산동,,
서울특별시,영등포구,도림동,,
서울특별시,영등포구,문래동,,
서울특별시,영등포구,양평동,,
서울특별시,영등포구,양화동,,
서울특별시,영등포구,신길동,,
서울특별시,영등포구,대림동,,
서울특별시,영등포구,양평동,,
서울특별시,동작구,노량진동,,
서울특별시,동작구,상도동,,
서울특별시,동작구,상도동,,
서울특별시,동작구,본동,,
서울특별시,동작구,흑석동,,
서울특별시,동작구,동작동,,
서울특별시,동작구,사당동,,
서울특별시,동작구,대방동,,
서울특별시,동작구,신대방동,,
서울특별시,관악구,봉천동,,
서울특별시,관악구,신림동,,
서울특별시,관악구,남현동,,
서울특별시,서초구,방배동,,
서울특별시,서초구,양재동,,
서울특별시,서초구,우면동,,
서울특별시,서초구,원지동,,
서울특별시,서초구,잠원동,,
서울특별시,서초구,반포동,,
서울특별시,서초구,서초동,,
서울특별시,서초구,내곡동,,
서울특별시,서초구,염곡동,,
서울특별시,서초구,신원동,,
서울특별시,강남구,역삼동,,
서울특별시,강남구,개포동,,
서울특별시,강남구,청담동,,
서울특별시,강남구,삼성동,,
서울특별시,강남구,대치동,,
서울특별시,강남구,신사동,,
서울특별시,강남구,논현동,,
서울특별시,강남구,압구정동,,
서울특별시,강남구,세곡동,,
서울특별시,강남구,자곡동,,
서울특별시,강남구,율현동,,
서울특별시,강남구,일원동,,
서울특별시,강남구,수서동,,
서울특별시,강남구,도곡동,,
서울특별시,송파구,잠실동,,
서울특별시,송파구,신천동,,
서울특별시,송파구,풍납동,,
서울특별시,송파구,송파동,,
서울특별시,송파구,석촌동,,
서울특별시,송파구,삼전동,,
서울특별시,송파구,가락동,,
서울특별시,송파구,문정동,,
서울특별시,송파구,장지동,,
서울특별시,송파구,방이동,,
서울특별시,송파구,오금동,,
서울특별시,송파구,거여동,,
서울특별시,송파구,마천동,,
서울특별시,강동구,명일동,,
서울특별시,강동구,고덕동,,
서울특별시,강동구,상일동,,
서울특별시,강동구,길동,,
서울특별시,강동구,둔촌동,,
서울특별시,강동구,암사동,,
서울특별시,강동구,성내동,,
서울특별시,강동구,천호동,,
서울특별시,강동구,강일동,,
부산광역시,중구,영주동,,
부산광역시,중구,대창동,,
부산광역시,중구,중앙동,,
부산광역시,중구,동광동,,
부산광역시,중구,대청동,,
부산광역시,중구,보수동,,
부산광역시,중구,부평동,,
부산광역시,중구,신창동,,
부산광역시,중구,창선동,,
부산광역시,중구,광복동,,
부산광역시,중구,남포동,,
부산광역시,서구,동대신동,,
부산광역시,서구,서대신동,,
부산광역시,서구,부용동,,
부산광역시,서구,부민동,,
부산광역시,서구,토성동,,
부산광역시,서구,아미동,,
부산광역시,서구,초장동,,
부산광역시,서구,충무동,,
부산광역시,서구,남부민동,,
부산광역시,서구,암남동,,
부산광역시,동구,초량동,,
부산광역시,동구,수정동,,
부산광역시,동구,좌천동,,
부산광역시,동구,범일동,,
부산광역시,영도구,대교동,,
부산광역시,영도구,대평동,,
부산광역시,영도구,남항동,,
부산광역시,영도구,영선동,,
부산광역시,영도구,신선동,,
부산광역시,영도구,봉래동,,
부산광역시,영도구,청학동,,
부산광역시,영도구,동삼동,,
부산광역시,부산진구,양정동,,
부산광역시,부산진구,전포동,,
부산광역시,부산진구,부전동,,
부산광역시,부산진구,범천동,,
부산광역시,부산진구,범전동,,
부산광역시,부산진구,연지동,,
부산광역시,부산진구,초읍동,,
부산광역시,부산진구,부암동,,
부산광역시,부산진구,당감동,,
부산광역시,부산진구,가야동,,
부산광역시,부산진구,개금동,,
부산광역시,동래구,명장동,,
부산광역시,동래구,안락동,,
부산광역시,동래구,칠산동,,
부산광역시,동래구,낙민동,,
부산광역시,동래구,복천동,,
부산광역시,동래구,수안동,,
부산광역시,동래구,명륜동,,
부산광역시,동래구,온천동,,
부산광역시,동래구,사직동,,
부산광역시,남구,대연동,,
부산광역시,남구,용호동,,
부산광역시,남구,용당동,,
부산광역시,남구,문현동,,
부산광역시,남구,우암동,,
부산광역시,남구,감만동,,
부산광역시,북구,금곡동,,
부산광역시,북구,화명동,,
부산광역시,북구,만덕동,,
부산광역시,북구,덕천동,,
부산광역시,북구,구포동,,
부산광역시,해운대구,반송동,,
부산광역시,해운대구,석대동,,
부산광역시,해운대구,반여동,,
부산광역시,해운대구,재송동,,
부산광역시,해운대구,우동,,
부산광역시,해운대구,중동,,
부산광역시,해운대구,좌동,,
부산광역시,해운대구,송정동,,
부산광역시,사하구,괴정동,,
부산광역시,사하구,당리동,,
부산광역시,사하구,하단동,,
부산광역시,사하구,신평동,,
부산광역시,사하구,장림동,,
부산광역시,사하구,다대동,,
부산광역시,사하구,구평동,,
부산광역시,사하구,감천동,,
부산광역시,금정구,두구동,,
부산광역시,금정구,노포동,,
부산광역시,금정구,청룡동,,
부산광역시,금정구,남산동,,
부산광역시,금정구,선동,,
부산광역시,금정구,오륜동,,
부산광역시,금정구,구서동,,
부산광역시,금정구,장전동,,
부산광역시,금정구,부곡동,,
부산광역시,금정구,서동,,
부산광역시,금정구,금사동,,
부산광역시,금정구,회동동,,
부산광역시,금정구,금성동,,
부산광역시,강서구,대저1동,,
부산광역시,강서구,강동동,,
부산광역시,강서구,명지동,,
부산광역시,강서구,죽림동,,
부산광역시,강서구,식만동,,
부산광역시,강서구,죽동동,,
부산광역시,강서구,봉림동,,
부산광역시,강서구,송정동,,
부산광역시,강서구,화전동,,
부산광역시,강서구,녹산동,,
부산광역시,강서구,생곡동,,
부산광역시,강서구,구랑동,,
부산광역시,강서구,지사동,,
부산광역시,강서구,미음동,,
부산광역시,강서구,범방동,,
부산광역시,강서구,신호동,,
부산광역시,강서구,동선동,,
부산광역시,강서구,성북동,,
부산광역시,강서구,눌차동,,
부산광역시,강서구,천성동,,
부산광역시,강서구,대항동,,
부산광역시,연제구,거제동,,
부산광역시,연제구,연산동,,
부산광역시,수영구,망미동,,
부산광역시,수영구,수영동,,
부산광역시,수영구,민락동,,
부산광역시,수영구,광안동,,
부산광역시,수영구,남천동,,
부산광역시,사상구,삼락동,,
부산광역시,사상구,모라동,,
부산광역시,사상구,덕포동,,
부산광역시,사상구,괘법동,,
부산광역시,사상구,감전동,,
부산광역시,사상구,주례동,,
부산광역시,사상구,학장동,,
부산광역시,사상구,엄궁동,,
부산광역시,,기장읍,,
부산광역시,,동부리,,
부산광역시,,교리,,
부산광역시,,신천리,,
부산광역시,,죽성리,,
부산광역시,,서부리,,
부산광역시,,대라리,,
부산광역시,,청강리,,
부산광역시,,대변리,,
부산광역시,,연화리,,
부산광역시,,만화리,,
부산광역시,,석산리,,
부산광역시,,당사리,,
부산광역시,,시랑리,,
부산광역시,,내리,,
부산광역시,,장안읍,,
부산광역시,,좌천리,,
부산광역시,,효암리,,
부산광역시,,고리,,
부산광역시,,좌동리,,
부산광역시,,장안리,,
부산광역시,,덕선리,,
부산광역시,,용소리,,
부산광역시,,기룡리,,
부산광역시,,명례리,,
부산광역시,,월내리,,
부산광역시,,반룡리,,
부산광역시,,임랑리,,
부산광역시,,오리,,
부산광역시,,길천리,,
부산광역시,,정관읍,,
부산광역시,,방곡리,,
부산광역시,,매학리,,
부산광역시,,임곡리,,
부산광역시,,월평리,,
부산광역시,,달산리,,
부산광역시,,병산리,,
부산광역시,,모전리,,
부산광역시,,용수리,,
부산광역시,,두명리,,
부산광역시,,예림리,,
부산광역시,,일광면,,
부산광역시,,삼성리,,
부산광역시,,이천리,,
부산광역시,,학리,,
부산광역시,,동백리,,
부산광역시,,문중리,,
부산광역시,,신평리,,
부산광역시,,칠암리,,
부산광역시,,문동리,,
부산광역시,,청광리,,
부산광역시,,원리,,
부산광역시,,화전리,,
부산광역시,,횡계리,,
부산광역시,,용천리,,
부산광역시,,철마면,,
부산광역시,,와여리,,
부산광역시,,장전리,,
부산광역시,,백길리,,
부산광역시,,송정리,,
부산광역시,,웅천리,,
부산광역시,,연구리,,
부산광역시,,구칠리,,
부산광역시,,이곡리,,
부산광역시,,고촌리,,
부산광역시,,안평리,,
부산광역시,,임기리,,
대구광역시,중구,동인동,,
대구광역시,중구,삼덕동,,
대구광역시,중구,봉산동,,
대구광역시,중구,장관동,,
대구광역시,중구,상서동,,
대구광역시,중구,수동,,
대구광역시,중구,덕산동,,
대구광역시,중구,종로,,
대구광역시,중구,사일동,,
대구광역시,중구,동일동,,
대구광역시,중구,남일동,,
대구광역시,중구,전동,,
대구광역시,중구,동문동,,
대구광역시,중구,문화동,,
대구광역시,중구,공평동,,
대구광역시,중구,태평로,,
대구광역시,중구,교동,,
대구광역시,중구,용덕동,,
대구광역시,중구,상덕동,,
대구광역시,중구,완전동,,
대구광역시,중구,도원동,,
대구광역시,중구,수창동,,
대구광역시,중구,인교동,,
대구광역시,중구,서야동,,
대구광역시,중구,서성로,,
대구광역시,중구,시장북로,,
대구광역시,중구,하서동,,
대구광역시,중구,남성로,,
대구광역시,중구,계산동,,
대구광역시,중구,동산동,,
대구광역시,중구,포정동,,
대구광역시,중구,서문로,,
대구광역시,중구,서내동,,
대구광역시,중구,대안동,,
대구광역시,중구,동성로,,
대구광역시,중구,북성로,,
대구광역시,중구,화전동,,
대구광역시,중구,향촌동,,
대구광역시,중구,북내동,,
대구광역시,중구,대신동,,
대구광역시,중구,달성동,,
대구광역시,중구,남산동,,
대구광역시,중구,대봉동,,
대구광역시,동구,신암동,,
대구광역시,동구,신천동,,
대구광역시,동구,효목동,,
대구광역시,동구,평광동,,
대구광역시,동구,봉무동,,
대구광역시,동구,불로동,,
대구광역시,동구,도동,,
대구광역시,동구,지저동,,
대구광역시,동구,입석동,,
대구광역시,동구,검사동,,
대구광역시,동구,방촌동,,
대구광역시,동구,둔산동,,
대구광역시,동구,부동,,
대구광역시,동구,신평동,,
대구광역시,동구,서호동,,
대구광역시,동구,동호동,,
대구광역시,동구,신기동,,
대구광역시,동구,율하동,,
대구광역시,동구,용계동,,
대구광역시,동구,율암동,,
대구광역시,동구,상매동,,
대구광역시,동구,매여동,,
대구광역시,동구,각산동,,
대구광역시,동구,신서동,,
대구광역시,동구,동내동,,
대구광역시,동구,괴전동,,
대구광역시,동구,금강동,,
대구광역시,동구,대림동,,
대구광역시,동구,사복동,,
대구광역시,동구,숙천동,,
대구광역시,동구,내곡동,,
대구광역시,동구,능성동,,
